Exchange Date;Close
18-Dez-2018;10.740,890
17-Dez-2018;10.772,200
14-Dez-2018;10.865,770
13-Dez-2018;10.924,700
12-Dez-2018;10.929,430
11-Dez-2018;10.780,510
10-Dez-2018;10.622,070
07-Dez-2018;10.788,090
06-Dez-2018;10.810,980
05-Dez-2018;11.200,240
04-Dez-2018;11.335,320
03-Dez-2018;11.465,460
30-Nov-2018;11.257,240
29-Nov-2018;11.298,230
28-Nov-2018;11.298,880
27-Nov-2018;11.309,110
26-Nov-2018;11.354,720
23-Nov-2018;11.192,690
22-Nov-2018;11.138,490
21-Nov-2018;11.244,170
20-Nov-2018;11.066,410
19-Nov-2018;11.244,540
16-Nov-2018;11.341,000
15-Nov-2018;11.353,670
14-Nov-2018;11.412,530
13-Nov-2018;11.472,220
12-Nov-2018;11.325,440
09-Nov-2018;11.529,160
08-Nov-2018;11.527,320
07-Nov-2018;11.579,100
06-Nov-2018;11.484,340
05-Nov-2018;11.494,960
02-Nov-2018;11.518,990
01-Nov-2018;11.468,540
31-Okt-2018;11.447,510
30-Okt-2018;11.287,390
29-Okt-2018;11.335,480
26-Okt-2018;11.200,620
25-Okt-2018;11.307,120
24-Okt-2018;11.191,630
23-Okt-2018;11.274,280
22-Okt-2018;11.524,340
19-Okt-2018;11.553,830
18-Okt-2018;11.589,210
17-Okt-2018;11.715,030
16-Okt-2018;11.776,550
15-Okt-2018;11.614,160
12-Okt-2018;11.523,810
11-Okt-2018;11.539,350
10-Okt-2018;11.712,500
09-Okt-2018;11.977,220
08-Okt-2018;11.947,160
05-Okt-2018;12.111,900
04-Okt-2018;12.244,140
02-Okt-2018;12.287,580
01-Okt-2018;12.339,030
28-Sep-2018;12.246,730
27-Sep-2018;12.435,590
26-Sep-2018;12.385,890
25-Sep-2018;12.374,660
24-Sep-2018;12.350,820
21-Sep-2018;12.430,880
20-Sep-2018;12.326,480
19-Sep-2018;12.219,020
18-Sep-2018;12.157,670
17-Sep-2018;12.096,410
14-Sep-2018;12.124,330
13-Sep-2018;12.055,550
12-Sep-2018;12.032,300
11-Sep-2018;11.970,270
10-Sep-2018;11.986,340
07-Sep-2018;11.959,630
06-Sep-2018;11.955,250
05-Sep-2018;12.040,460
04-Sep-2018;12.210,210
03-Sep-2018;12.346,410
31-Aug-2018;12.364,060
30-Aug-2018;12.494,240
29-Aug-2018;12.561,680
28-Aug-2018;12.527,420
27-Aug-2018;12.538,310
24-Aug-2018;12.394,520
23-Aug-2018;12.365,580
22-Aug-2018;12.385,700
21-Aug-2018;12.384,490
20-Aug-2018;12.331,300
17-Aug-2018;12.210,550
16-Aug-2018;12.237,170
15-Aug-2018;12.163,010
14-Aug-2018;12.358,870
13-Aug-2018;12.358,740
10-Aug-2018;12.424,350
09-Aug-2018;12.676,110
08-Aug-2018;12.633,540
07-Aug-2018;12.648,190
06-Aug-2018;12.598,210
03-Aug-2018;12.615,760
02-Aug-2018;12.546,330
01-Aug-2018;12.737,050
31-Jul-2018;12.805,500
30-Jul-2018;12.798,200
27-Jul-2018;12.860,400
26-Jul-2018;12.809,230
25-Jul-2018;12.579,330
24-Jul-2018;12.689,390
23-Jul-2018;12.548,570
20-Jul-2018;12.561,420
19-Jul-2018;12.686,290
18-Jul-2018;12.765,940
17-Jul-2018;12.661,540
16-Jul-2018;12.561,020
13-Jul-2018;12.540,730
12-Jul-2018;12.492,970
11-Jul-2018;12.417,130
10-Jul-2018;12.609,850
09-Jul-2018;12.543,890
06-Jul-2018;12.496,170
05-Jul-2018;12.464,290
04-Jul-2018;12.317,610
03-Jul-2018;12.349,140
02-Jul-2018;12.238,170
29-Jun-2018;12.306,000
28-Jun-2018;12.177,230
27-Jun-2018;12.348,610
26-Jun-2018;12.234,340
25-Jun-2018;12.270,330
22-Jun-2018;12.579,720
21-Jun-2018;12.511,910
20-Jun-2018;12.695,160
19-Jun-2018;12.677,970
18-Jun-2018;12.834,110
15-Jun-2018;13.010,550
14-Jun-2018;13.107,100
13-Jun-2018;12.890,580
12-Jun-2018;12.842,300
11-Jun-2018;12.842,910
08-Jun-2018;12.766,550
07-Jun-2018;12.811,050
06-Jun-2018;12.830,070
05-Jun-2018;12.787,130
04-Jun-2018;12.770,750
01-Jun-2018;12.724,270
31-Mai-2018;12.604,890
30-Mai-2018;12.783,760
29-Mai-2018;12.666,510
28-Mai-2018;12.863,460
25-Mai-2018;12.938,010
24-Mai-2018;12.855,090
23-Mai-2018;12.976,840
22-Mai-2018;13.169,920
18-Mai-2018;13.077,720
17-Mai-2018;13.114,610
16-Mai-2018;12.996,330
15-Mai-2018;12.970,040
14-Mai-2018;12.977,710
11-Mai-2018;13.001,240
10-Mai-2018;13.022,870
09-Mai-2018;12.943,060
08-Mai-2018;12.912,210
07-Mai-2018;12.948,140
04-Mai-2018;12.819,600
03-Mai-2018;12.690,150
02-Mai-2018;12.802,250
30-Apr-2018;12.612,110
27-Apr-2018;12.580,870
26-Apr-2018;12.500,470
25-Apr-2018;12.422,300
24-Apr-2018;12.550,820
23-Apr-2018;12.572,390
20-Apr-2018;12.540,500
19-Apr-2018;12.567,420
18-Apr-2018;12.590,830
17-Apr-2018;12.585,570
16-Apr-2018;12.391,410
13-Apr-2018;12.442,400
12-Apr-2018;12.415,010
11-Apr-2018;12.293,970
10-Apr-2018;12.397,320
09-Apr-2018;12.261,750
06-Apr-2018;12.241,270
05-Apr-2018;12.305,190
04-Apr-2018;11.957,900
03-Apr-2018;12.002,450
29-Mrz-2018;12.096,730
28-Mrz-2018;11.940,710
27-Mrz-2018;11.970,830
26-Mrz-2018;11.787,260
23-Mrz-2018;11.886,310
22-Mrz-2018;12.100,080
21-Mrz-2018;12.309,150
20-Mrz-2018;12.307,330
19-Mrz-2018;12.217,020
16-Mrz-2018;12.389,580
15-Mrz-2018;12.345,560
14-Mrz-2018;12.237,740
13-Mrz-2018;12.221,030
12-Mrz-2018;12.418,390
09-Mrz-2018;12.346,680
08-Mrz-2018;12.355,570
07-Mrz-2018;12.245,360
06-Mrz-2018;12.113,870
05-Mrz-2018;12.090,870
02-Mrz-2018;11.913,710
01-Mrz-2018;12.190,940
28-Feb-2018;12.435,850
27-Feb-2018;12.490,730
26-Feb-2018;12.527,040
23-Feb-2018;12.483,790
22-Feb-2018;12.461,910
21-Feb-2018;12.470,490
20-Feb-2018;12.487,900
19-Feb-2018;12.385,600
16-Feb-2018;12.451,960
15-Feb-2018;12.346,170
14-Feb-2018;12.339,160
13-Feb-2018;12.196,500
12-Feb-2018;12.282,770
09-Feb-2018;12.107,480
08-Feb-2018;12.260,290
07-Feb-2018;12.590,430
06-Feb-2018;12.392,660
05-Feb-2018;12.687,490
02-Feb-2018;12.785,160
01-Feb-2018;13.003,900
31-Jan-2018;13.189,480
30-Jan-2018;13.197,710
29-Jan-2018;13.324,480
26-Jan-2018;13.340,170
25-Jan-2018;13.298,360
24-Jan-2018;13.414,740
23-Jan-2018;13.559,600
22-Jan-2018;13.463,690
19-Jan-2018;13.434,450
18-Jan-2018;13.281,430
17-Jan-2018;13.183,960
16-Jan-2018;13.246,330
15-Jan-2018;13.200,510
12-Jan-2018;13.245,030
11-Jan-2018;13.202,900
10-Jan-2018;13.281,340
09-Jan-2018;13.385,590
08-Jan-2018;13.367,780
05-Jan-2018;13.319,640
04-Jan-2018;13.167,890
03-Jan-2018;12.978,210
02-Jan-2018;12.871,390
29-Dez-2017;12.917,640
28-Dez-2017;12.979,940
27-Dez-2017;13.070,020
22-Dez-2017;13.072,790
21-Dez-2017;13.109,740
20-Dez-2017;13.069,170
19-Dez-2017;13.215,790
18-Dez-2017;13.312,300
15-Dez-2017;13.103,560
14-Dez-2017;13.068,080
13-Dez-2017;13.125,640
12-Dez-2017;13.183,530
11-Dez-2017;13.123,650
08-Dez-2017;13.153,700
07-Dez-2017;13.045,150
06-Dez-2017;12.998,850
05-Dez-2017;13.048,540
04-Dez-2017;13.058,550
01-Dez-2017;12.861,490
30-Nov-2017;13.023,980
29-Nov-2017;13.061,870
28-Nov-2017;13.059,530
27-Nov-2017;13.000,200
24-Nov-2017;13.059,840
23-Nov-2017;13.008,550
22-Nov-2017;13.015,040
21-Nov-2017;13.167,540
20-Nov-2017;13.058,660
17-Nov-2017;12.993,730
16-Nov-2017;13.047,220
15-Nov-2017;12.976,370
14-Nov-2017;13.033,480
13-Nov-2017;13.074,420
10-Nov-2017;13.127,470
09-Nov-2017;13.182,560
08-Nov-2017;13.382,420
07-Nov-2017;13.379,270
06-Nov-2017;13.468,790
03-Nov-2017;13.478,860
02-Nov-2017;13.440,930
01-Nov-2017;13.465,510
30-Okt-2017;13.229,570
27-Okt-2017;13.217,540
26-Okt-2017;13.133,280
25-Okt-2017;12.953,410
24-Okt-2017;13.013,190
23-Okt-2017;13.003,140
